Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
Aberlour Abunadh 750ml,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0,Create/Update,080432516171,1,6,109.99,0.0,1.0,1.0,109.99,109.99
Aberlour Abunadh 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080432516171,1,6,109.99,0.0,1.0,1.0,109.99,109.99
Absinthe Brouilleur 3 Hole,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,12161216,2,2,14.0,0.0,2.0,2.0,28.0,28.0
Absinthe Brouilleur 3 Hole,Customer Square 2,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,12161216,2,2,14.0,0.0,2.0,2.0,28.0,28.0
Absinthe Brouilleur 3 Hole,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,12161216,2,2,14.0,0.0,2.0,2.0,28.0,28.0
Absinthe Fountain 2 Spout,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13021302,1,2,189.99,0.0,1.0,1.0,189.99,189.99
Absinthe Fountain 2 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13021302,1,2,189.99,0.0,1.0,1.0,189.99,189.99
Absinthe Fountain 2 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13021302,1,2,189.99,0.0,1.0,1.0,189.99,189.99
Absinthe Fountain 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13041304,1,2,199.99,0.0,1.0,1.0,199.99,199.99
Absinthe Fountain 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13041304,1,2,199.99,0.0,1.0,1.0,199.99,199.99
Absinthe Fountain 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13041304,1,2,199.99,0.0,1.0,1.0,199.99,199.99
Absinthe Fountain 6 Spout Lady,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000005,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain 6 Spout Lady,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,1234500000005,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain 6 Spout Lady,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000005,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain 6 Spout Rooster,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13061306,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain 6 Spout Rooster,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13061306,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain 6 Spout Rooster,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13061306,1,2,259.0,0.0,1.0,1.0,259.0,259.0
Absinthe Fountain Glass 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13741374,0,1,64.99,0.0,0.0,0.0,0.0,0.0
Absinthe Fountain Glass 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13741374,0,1,64.99,0.0,0.0,0.0,0.0,0.0
Absinthe Fountain Glass 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13741374,0,1,64.99,0.0,0.0,0.0,0.0,0.0
Absinthe Glass Coupe,Customer Square 1,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,14651465,4,12,12.0,0.0,4.0,4.0,48.0,48.0
Absinthe Glass Coupe,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14651465,4,12,12.0,0.0,4.0,4.0,48.0,48.0
Absinthe Glass Coupe,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,14651465,4,12,12.0,0.0,4.0,4.0,48.0,48.0
