Product,AP,PV,OH,Category,Total
Stephane Regnault Mixolydien Blanc de Blanc 750ml,3.0,0.0,1.0,Bubbles,4.0
Southold Time Of Our Lives 750ml,0.0,3.0,1.0,Red New World,4.0
Barnard Griffin Chardonnay Can,0.0,0.0,4.0,White,4.0
Winery of Good Hope Pinotage 750ml,2.0,1.0,1.0,Red New World,4.0
American Recordings Chardonnay 2019 750ml,1.0,3.0,0.0,White,4.0
Paltrinieri Radice Lambrusco 750ml,0.0,4.0,0.0,Bubbles,4.0
Carrascal Corte Clasico 750ml,0.0,3.0,1.0,Red New World,4.0
Pierre et Papa French Red 750ml,0.0,4.0,0.0,Red Old World,4.0
Pinol Portal 750ml,4.0,0.0,0.0,White,4.0
Southold Her Song In My Head 750ml,0.0,3.0,0.0,Red New World,3.0
Louis Roederer Cristal Brut 750ml,1.0,1.0,1.0,Bubbles,3.0
Chateau La Rame Bordeaux Blanc 750ml,0.0,3.0,0.0,White,3.0
Anne Amie Cuvee Amrita 750ml,0.0,0.0,3.0,Bubbles,3.0
Laherte Frères Champagne 750ml,0.0,0.0,3.0,Bubbles,3.0
De Muller Priorat Crianza 750ml,0.0,3.0,0.0,Red Old World,3.0
Amicone Cantine Di Ora 750ml,1.0,2.0,0.0,Red Old World,3.0
Vinca Minor Chardonnay 750ml,2.0,0.0,0.0,White,2.0
Donkey & Goat Lily's Pet Nat 2017 750ml,0.0,2.0,0.0,Bubbles,2.0
Yohan Lardy 1903 Moulin a Vent 2018 750ml,2.0,0.0,0.0,Red Old World,2.0
Vigne Del Malina Pinot Grigio Ram 750ml,1.0,1.0,0.0,Orange Wine,2.0
Haraszthy Bearitage Red Blend 750ml,0.0,0.0,2.0,Red New World,2.0
Cantine Valpane Rosa Ruske 750ml,0.0,1.0,1.0,Red Old World,2.0
Southold Lovers and Dreamers 750ml,1.0,1.0,0.0,Red New World,2.0
American Recordings Pinot Noir 2019 750ml,0.0,0.0,2.0,Red New World,2.0
Masso Antico Primitivo 750ml,0.0,2.0,0.0,Red Old World,2.0
Ruinart Blanc De Blancs 750ml,2.0,0.0,0.0,Bubbles,2.0
Bilontra 750ml,0.0,0.0,1.0,Red Old World,1.0
Vit Vane Sorta Sweet Red 750ml,0.0,0.0,1.0,Red New World,1.0
Antica Terra Botanica Pinot Noir 750ml,0.0,0.0,1.0,Red New World,1.0
Vit Vane Sorta Sweet White 750ml,0.0,0.0,1.0,White,1.0
Polvanera Verdeca Puglia 750ml,1.0,0.0,0.0,Orange Wine,1.0
Cazenove Bordeaux 750ml,0.0,0.0,1.0,Red Old World,1.0
Chandon Brut 1.5L,0.0,1.0,0.0,Bubbles,1.0
Cote de Brouilly Cuvee 750ml,0.0,0.0,1.0,Red Old World,1.0
Teutonic Little Ice Age  750ml,0.0,0.0,1.0,White,1.0
Quando Pinot Noir 750ml,0.0,1.0,0.0,Red New World,1.0
Tempier Bandol Blanc 750ml,0.0,1.0,0.0,White,1.0
Leduc Frouin Anjou Blanc 750ml,0.0,1.0,0.0,White,1.0
Southold Go Down Swinging 2017 750ml,0.0,1.0,0.0,Red New World,1.0
Southold Cup of Ambition 750ml,0.0,1.0,0.0,Orange Wine,1.0
Southold All Things Go 750ml,0.0,1.0,0.0,Red New World,1.0
Silver Oak Napa Cabernet Sauvignon 750ml,0.0,1.0,0.0,Red New World,1.0
Silver Oak Alexander Cabernet Library 750ml,1.0,0.0,0.0,Red New World,1.0
Ludovic Engelvin Rouge 750ml,1.0,0.0,0.0,Red Old World,1.0
Scarpetta Barbera Del Monferrato DOC 750ml,0.0,1.0,0.0,Red Old World,1.0
Occhipinti SP68 Red Blend 750ml,0.0,0.0,1.0,Red Old World,1.0
Granbazan Albarino Ambar 750ml,0.0,1.0,0.0,White,1.0
