,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
11942,761503332264,Regis Bouvier Gevrey Chambertin 2013 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,,3.0,,,,
12032,7503018107110,Rey Campero Madre Cuishe 200ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,8.0,,,29.99,239.92
12041,7503018107059,Rey Campero Mexicano 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,3.0,,,91.99000000000001,275.97
12050,7503018107066,Rey Campero Tepextate 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,3.0,,,109.99000000000001,329.97
12160,689768871314,Rhum Barbancourt 3 Star 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,3.0,,,25.70111111111111,77.10333333333332
12185,182972000292,Rhum JM White 1L,Customer Square 3,Oak Hill,ACTIVE,Rum,,3.0,,,33.99,101.97
12304,123457,Rona Unetched Mixing Beaker,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,4.0,,,27.5,110.0
12309,862018000263,Rossville Barrel Proof 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,,3.0,,,74.99,224.96999999999997
12312,862018000270,Rossville Rye 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,,3.0,,,45.99,137.97
12321,9024153040486,Rothman Cherry 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,3.0,,,,
12327,9024153040578,Rothman Orchard Elderberry 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,22.99,91.96
12451,3483814000003,Saint Cosme Chateauneuf du Pape 750mL,Customer Square 3,Oak Hill,ACTIVE,Red Old World,,4.0,,,69.99,279.96
12502,787790867685,Santanera Tahona 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,,4.0,,,,
