Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
Absinthe Fountain 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13041304,1,2
Absinthe Fountain 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13041304,1,2
Absinthe Fountain 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13041304,1,2
Absinthe Fountain 6 Spout Lady,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000005,1,2
Absinthe Fountain 6 Spout Lady,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,1234500000005,1,2
Absinthe Fountain 6 Spout Lady,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000005,1,2
Absinthe Fountain 6 Spout Rooster,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13061306,1,2
Absinthe Fountain 6 Spout Rooster,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13061306,1,2
Absinthe Fountain 6 Spout Rooster,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13061306,1,2
Absinthe Fountain Glass 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13741374,0,1
Absinthe Fountain Glass 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,13741374,0,1
Absinthe Fountain Glass 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,13741374,0,1
Absinthe Glass Coupe,Customer Square 1,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,14651465,4,12
Absinthe Glass Coupe,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14651465,4,12
Absinthe Glass Coupe,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,14651465,4,12
Absinthe Glass Lyon,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14601460,4,12
Absinthe Glass Lyon,Customer Square 2,2,0.057692307692307696,0.30467268303374734,0,2,0.0,0.0,0.0,Create/Update,14601460,4,12
Absinthe Glass Lyon,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14601460,4,12
