Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
Espina Negra Tobala 750ml,Customer Square 3,4,0.11538461538461539,0.42307692307692313,0,2,0.0,0.0,0.0,Create/Update,7500462612719,1,4,,0.0,1.0,1.0,,
Espolon Anejo 1L,Customer Square 3,6,0.15384615384615385,0.495542258720197,0,3,0.0,0.0,0.0,Create/Update,664804001436,1,6,,0.0,1.0,1.0,,
Espolon Blanco 1L,Customer Square 3,48,282.21153846153845,111.4297530593329,0,473,231.5,293.5,349.0,Create/Update,721059701006,3,6,,282.0,-279.0,-346.0,,
Espolon Blanco 375ml,Customer Square 3,11,5.019230769230769,13.438593082003363,0,84,0.0,0.0,0.0,Create/Update,664804000378,4,12,,5.0,-1.0,4.0,,
Espolon Reposado 1L,Customer Square 3,34,6.4423076923076925,8.497541412618805,0,42,0.0,3.5,7.25,Create/Update,721059701013,2,6,,6.0,-4.0,-5.0,,
Evan Williams 1783 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,096749002986,1,6,15.53,0.0,1.0,1.0,15.53,15.53
Evan Williams Black 1.75L,Customer Square 3,9,0.25,0.6162853984216179,0,3,0.0,0.0,0.0,Create/Update,096749021147,2,6,39.5,0.0,2.0,2.0,79.0,79.0
Evan Williams Black 750ml,Customer Square 3,1,0.23076923076923078,1.6480219450483495,0,12,0.0,0.0,0.0,Create/Update,096749021345,3,12,140.88,0.0,3.0,3.0,422.64,422.64
Evan Williams Bonded 1L,Customer Square 3,52,72.84615384615384,31.852052593794795,16,143,49.75,70.0,93.75,Create/Update,096749021277,3,12,15.05,73.0,-70.0,-91.0,-1053.5,-1369.55
Exotico Blanco 1L,Customer Square 3,38,18.807692307692307,15.625470407120131,0,52,0.0,12.0,32.0,Create/Update,088352126524,2,6,174.0,19.0,-17.0,-30.0,-2958.0,-5220.0
FEW Breakfast Gin 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,738435750732,1,6,,0.0,1.0,1.0,,
