,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
4535,Whiskey Bourbon/American,080686001706,Jim Beam White Label 200ml,Oak Hill,10,0,-10,
2727,Fortified,094799020028,Dows Ruby Port NV 750ml,Oak Hill,10,0,-10,
5912,Vodka,086208390761,Monopolowa Vodka 375ml,Oak Hill,17,7,-10,
8332,Bar Tools,123615,Viski Hawthorne Strainer Stainless,Oak Hill,10,0,-10,
3373,Red Old World,810411011287,Flaco Tempranillo 750ml,Oak Hill,10,0,-10,
4870,Bar Tools,7610154027704,Kuhn Rikon Peeler Red,Oak Hill,10,0,-10,
328,Bitters,075496002005,Angostura Bitters 200ml,Oak Hill,10,0,-10,
711,Whiskey Bourbon/American,080686012122,Basil Hayden 375ml,Oak Hill,10,0,-10,
6587,Rum,695521151852,Plantation Pineapple Rum 750ml,Oak Hill,10,0,-10,
3272,Non Alcoholic Beverage,898195001052,Fever Tree Lemon Tonic 4 Pack,Oak Hill,10,0,-10,
550,Rum,080480015305,Bacardi Superior 1L,Oak Hill,11,1,-10,
4873,Bar Tools,7610154027742,Kuhn Rikon Peeler White,Oak Hill,10,0,-10,
4864,Bar Tools,7610154027711,Kuhn Rikon Peeler Blue,Oak Hill,10,0,-10,
5524,Whiskey Bourbon/American,085246139431,Makers Mark 750ml,Oak Hill,12,2,-10,
6984,Rum,689768881313,Rhum Barbancourt Blanco 750ml,Oak Hill,10,0,-10,
8414,White,9120041091032,Walter Buchegger Riesling 750ml,Oak Hill,10,0,-10,
3370,Liqueur,085592157059,Five Farms Irish Cream 750ml,Oak Hill,10,0,-10,
2012,Bar Tools,123499,Cocktail Kingdom Julep Strainer Stainless,Oak Hill,9,0,-9,
4578,Tequila,811538010887,Jose Cuervo Gold 375ml,Oak Hill,10,1,-9,
8356,Bar Tools,123623,Viski Leopold Jigger Gold,Oak Hill,9,0,-9,
3314,Red New World,799665809850,Field Recordings Fiction 750ml,Oak Hill,9,0,-9,
7227,Tequila,080686835028,Sauza Hornitos Reposado 750ml,Oak Hill,10,1,-9,
3433,Tequila,7502221967108,Fortaleza Reposado 750ml,Oak Hill,9,0,-9,
3818,Tequila,811538014137,Gran Centenario Plata 750ml,Oak Hill,9,0,-9,
8350,Bar Tools,123621,Viski Leopold Jigger Black,Oak Hill,9,0,-9,
