Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,ROUNDMEAN,ROUND75,diffmean,diff75
Absinthe Spoon,Customer Square 2,8,0.25,0.616285398421618,0,2,0,0,0,Create/Update,10031003,5,10,0,0,,
Absinthe Spoon,Customer Square 3,4,0.115384615384615,0.466321371268544,0,3,0,0,0,Create/Update,10031003,5,10,0,0,5,5
Absinthe Sugar Cubes (20pack),Customer Square 1,3,0.076923076923077,0.330858664117024,0,2,0,0,0,Create/Update,859868004619,20,80,0,0,,
Absinthe Sugar Cubes (20pack),Customer Square 2,9,0.192307692307692,0.440212428548446,0,2,0,0,0,Create/Update,859868004619,20,80,0,0,,
Absinthe Sugar Cubes (20pack),Customer Square 3,9,0.211538461538462,0.493672986653594,0,2,0,0,0,Create/Update,859868004619,20,80,0,0,20,20
Absinthe Sugar Cubes (2pack),Customer Square 1,25,3.34615384615385,5.09481114387138,0,19,0,0,5,Create/Update,1234500000011,100,1000,3,5,,
Absinthe Sugar Cubes (2pack),Customer Square 2,20,2.94230769230769,5.09303242576963,0,23,0,0,4.25,Create/Update,1234500000011,100,1000,3,4,,
Absinthe Sugar Cubes (2pack),Customer Square 3,2,0.115384615384615,0.576923076923077,0,3,0,0,0,Create/Update,1234500000011,100,1000,0,0,100,100
Absolut Citron 1L,Customer Square 2,4,0.096153846153846,0.354076012298499,0,2,0,0,0,Create/Update,835229001404,2,12,0,0,,
Absolut Elyx 750ml,Customer Square 1,7,0.134615384615385,0.341312295178824,0,1,0,0,0,Create/Update,835229000711,2,6,0,0,,
Absolut Elyx 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,835229000711,6,6,0,0,,
Absolut Elyx 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,835229000711,2,6,0,0,2,2
Absolut Pride 1L,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,835229010116,6,12,0,0,,
Absolut Vanilla 1L,Customer Square 2,8,0.192307692307692,0.481921695620833,0,2,0,0,0,Create/Update,835229006409,4,12,0,0,,
Absolut Vodka 200ml,Customer Square 1,11,0.269230769230769,0.653846153846154,0,4,0,0,0,Create/Update,835229000100,6,48,0,0,,
Absolut Vodka 200ml,Customer Square 2,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,835229000100,48,48,0,0,,
Absolut Vodka 200ml,Customer Square 3,8,0.25,0.646737373876932,0,3,0,0,0,Create/Update,835229000100,6,48,0,0,6,6
Absolut Vodka 375ml,Customer Square 1,6,0.153846153846154,0.455083060238432,0,2,0,0,0,Create/Update,835229000209,6,48,0,0,,
Absolut Vodka 375ml,Customer Square 2,8,0.25,0.616285398421618,0,2,0,0,0,Create/Update,835229000209,48,48,0,0,,
Absolut Vodka 375ml,Customer Square 3,14,0.403846153846154,0.74057190438345,0,3,0,0,1,Create/Update,835229000209,2,48,0,1,2,1
Absolut Vodka 750ml,Customer Square 1,11,0.230769230769231,0.464732537445945,0,2,0,0,0,Create/Update,835229000308,6,48,0,0,,
Absolut Vodka 750ml,Customer Square 2,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,835229000308,48,48,0,0,,
Absolut Vodka 750ml,Customer Square 3,6,0.134615384615385,0.393644028662668,0,2,0,0,0,Create/Update,835229000308,2,12,0,0,2,2
Achard Vincent Clairette Brut 750ml,Customer Square 1,18,0.519230769230769,0.820187235082159,0,3,0,0,1,Create/Update,761503633026,2,6,1,1,,
Achard Vincent Clairette Brut 750ml,Customer Square 2,25,1.03846153846154,1.45392755164891,0,6,0,0,1.25,Create/Update,761503633026,2,6,1,1,,
Achard Vincent Clairette Brut 750ml,Customer Square 3,8,0.230769230769231,0.668390276807029,0,4,0,0,0,Create/Update,761503633026,3,6,0,0,3,3
Admiral Rodney Formidable 750ml,Customer Square 1,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,786992212248,0,1,0,0,,
Admiral Rodney Formidable 750ml,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,786992212248,0,1,0,0,,
Admiral Rodney Formidable 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,786992212248,0,1,0,0,0,0
Admiral Rodney Officers Release 1 750ml,Customer Square 1,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,786992214914,0,1,0,0,,
Admiral Rodney Officers Release 1 750ml,Customer Square 2,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,786992214914,0,1,0,0,,
Admiral Rodney Officers Release 1 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,786992214914,0,1,0,0,0,0
Admiral Rodney Princessa 750ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,786992212101,0,1,0,0,,
Admiral Rodney Princessa 750ml,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,786992212101,0,1,0,0,,
Admiral Rodney Princessa 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,786992212101,0,1,0,0,0,0
Admiral Rodney Royal Oak 750ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,786992212170,0,1,0,0,,
Admiral Rodney Royal Oak 750ml,Customer Square 2,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,786992212170,0,1,0,0,,
