Product,Customer,Count,Mean,Std,Min,Max,25,50,75
99 Apple Whiskey 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Apple Whiskey 50ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Apple Whiskey 50ml,Customer Square 3,3,0.1346153846153846,0.6210675100751979,0,4,0.0,0.0,0.0
99 Bananas 50ml,Customer Square 1,51,20.23076923076923,10.723115550090455,0,49,14.0,17.5,24.25
99 Bananas 50ml,Customer Square 2,46,8.403846153846153,7.372661598992216,0,30,2.75,6.0,13.25
99 Bananas 50ml,Customer Square 3,48,7.0,5.896543968226707,0,23,2.0,5.0,10.25
99 Bananas 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Bananas 750ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
99 Bananas 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Cherry Limeade 50ml,Customer Square 1,4,0.7884615384615384,2.754971300014816,0,12,0.0,0.0,0.0
99 Cherry Limeade 50ml,Customer Square 2,3,0.21153846153846154,0.9058896702549135,0,5,0.0,0.0,0.0
99 Cherry Limeade 50ml,Customer Square 3,6,0.6538461538461539,2.1383370190642523,0,9,0.0,0.0,0.0
99 Chocolate 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Chocolate 50ml,Customer Square 2,6,0.23076923076923078,0.723649527777953,0,4,0.0,0.0,0.0
99 Chocolate 50ml,Customer Square 3,3,0.17307692307692307,0.8019484408458861,0,5,0.0,0.0,0.0
99 Fruit Punch 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Fruit Punch 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,4,0.0,0.0,0.0
99 Fruit Punch 50ml,Customer Square 3,7,0.6923076923076923,2.0897042626470963,0,9,0.0,0.0,0.0
99 Guava 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Guava 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,3,0.0,0.0,0.0
99 Guava 50ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Mystery Flavor 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
99 Mystery Flavor 50ml,Customer Square 2,6,0.34615384615384615,1.1583246420288922,0,6,0.0,0.0,0.0
99 Mystery Flavor 50ml,Customer Square 3,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0
