Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Bar Tools","791090525657","Cocktail Kingdom Ice Tray 2in","Oak Hill","","",,"",31.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,6.5000,6.5000,
"Bar Tools","791090525657","Cocktail Kingdom Ice Tray 2in","Pleasant Valley","","",,"",181.5000,33.0000,0.0000,33.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",10.0000,6.5000,6.5000,
"Bar Tools","791090525640","Cocktail Kingdom Ice Tray Collins","Airport","","",,"",102.5000,18.0000,0.0000,18.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",11.0000,7.5000,7.5000,
"Bar Tools","791090525640","Cocktail Kingdom Ice Tray Collins","Oak Hill","","",,"",45.0000,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",11.0000,7.5000,7.5000,
"Bar Tools","791090525640","Cocktail Kingdom Ice Tray Collins","Pleasant Valley","","",,"",108.0000,18.0000,0.0000,18.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",11.0000,7.5000,7.5000,
"Bar Tools","123666","Cocktail Kingdom Japanese Jigger .5-.75 oz Black","Airport","","",,"",49.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",16.9900,14.4000,14.4000,
"Bar Tools","123666","Cocktail Kingdom Japanese Jigger .5-.75 oz Black","Oak Hill","","",,"",36.7500,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",16.9900,14.4000,14.4000,
"Bar Tools","123666","Cocktail Kingdom Japanese Jigger .5-.75 oz Black","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",16.9900,14.4000,14.4000,
"Bar Tools","123490","Cocktail Kingdom Japanese Jigger .5-.75 oz Copper","Airport","","",,"",182.0000,13.0000,0.0000,13.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,16.5000,16.5000,
"Bar Tools","123490","Cocktail Kingdom Japanese Jigger .5-.75 oz Copper","Oak Hill","","",,"",112.0000,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,16.5000,16.5000,
"Bar Tools","123490","Cocktail Kingdom Japanese Jigger .5-.75 oz Copper","Pleasant Valley","","",,"",182.0000,13.0000,0.0000,13.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,16.5000,16.5000,
"Bar Tools","123491","Cocktail Kingdom Japanese Jigger .5-.75 oz Gold","Airport","","",,"",104.6600,9.0000,0.0000,9.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,17.7500,17.7500,
"Bar Tools","123491","Cocktail Kingdom Japanese Jigger .5-.75 oz Gold","Oak Hill","","",,"",58.1600,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,17.7500,17.7500,
"Bar Tools","123491","Cocktail Kingdom Japanese Jigger .5-.75 oz Gold","Pleasant Valley","","",,"",108.5000,7.0000,0.0000,7.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.0000,17.7500,17.7500,
"Bar Tools","123492","Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless","Airport","","",,"",50.0000,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123492","Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless","Oak Hill","","",,"",40.0000,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123492","Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless","Pleasant Valley","","",,"",75.0000,15.0000,0.0000,15.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123492","Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless","Warehouse","","",,"",20.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123493","Cocktail Kingdom Japanese Jigger 1-1.5 oz Copper","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",20.0000,17.7500,17.7500,
"Bar Tools","123493","Cocktail Kingdom Japanese Jigger 1-1.5 oz Copper","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",20.0000,17.7500,17.7500,
"Bar Tools","123494","Cocktail Kingdom Japanese Jigger 1-1.5 oz Stainless","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123494","Cocktail Kingdom Japanese Jigger 1-1.5 oz Stainless","Pleasant Valley","","",,"",6.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",12.0000,9.5000,9.5000,
"Bar Tools","123665","Cocktail Kingdom Japanese Jigger 1oz-2oz Black","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",18.9900,17.3500,17.3500,
