Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,899109002196,Badenhorst Caperitif 750ml,Customer Square 1,0,6,,
Create/Update,1234500000019,Bag Ice 20LB,Customer Square 1,18,40,,
Create/Update,086767210098,Baileys 375ml,Customer Square 1,0,12,,
Create/Update,086767210128,Baileys 50ml,Customer Square 1,3,120,,
Create/Update,086767210067,Baileys 750ml,Customer Square 1,2,12,,
Create/Update,852757002338,Balcones Baby Blue 50ml,Customer Square 1,1,72,,
Create/Update,852757002017,Balcones Baby Blue 750ml,Customer Square 1,0,6,,
Create/Update,852757002055,Balcones Brimstone 750ml,Customer Square 1,0,6,,
Create/Update,852757002697,Balcones Lineage 750ml,Customer Square 1,0,6,,
Create/Update,852757002321,Balcones Peated Single Malt 750ml,Customer Square 1,0,6,,
Create/Update,852757002536,Balcones Pot Still Bourbon 750ml,Customer Square 1,1,6,,
Create/Update,852757002000,Balcones Rumble 750ml,Customer Square 1,0,6,,
Create/Update,852757002291,Balcones Rye 100 750ml,Customer Square 1,0,6,,
Create/Update,852757002529,Balcones Rye 50ml,Customer Square 1,1,72,,
Create/Update,852757002345,Balcones Single Malt 50ml,Customer Square 1,2,72,,
Create/Update,852757002031,Balcones Texas Single Malt No 1 750ml,Customer Square 1,0,6,,
Create/Update,852757002062,Balcones True Blue 100 Proof 750ml,Customer Square 1,0,6,,
Create/Update,083664874132,Balvenie 12y American Oak 750ml,Customer Square 1,0,6,,
Create/Update,083664873845,Balvenie 12y Doublewood 200ml,Customer Square 1,0,12,,
Create/Update,083664112210,Balvenie 12y Doublewood 750ml,Customer Square 1,0,12,,
Create/Update,083664871681,Balvenie 14y Caribbean 750ml,Customer Square 1,0,6,,
Create/Update,083664874149,Balvenie 14y Week Of Peat 750ml,Customer Square 1,0,6,,
Create/Update,083664873197,Balvenie 15y Sherry Cask 750ml,Customer Square 1,0,6,,
Create/Update,083664873005,Balvenie 17y Doublewood 750ml,Customer Square 1,0,6,,
Create/Update,083664858415,Balvenie 21y Portwood 750ml,Customer Square 1,0,3,,
