,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
110,852674006068,512 IPA 6pk Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,3.0,37.0,406.63,10.99
111,852674006488,512 IPA 6pk Cans,Customer Square 1,Airport,ACTIVE,Craft Beer,4.0,52.0,571.48,10.99
112,852674006488,512 IPA 6pk Cans,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,4.0,8.0,87.92,10.99
113,852674006501,512 Juicy IPA 6pk cans,Customer Square 1,Airport,ACTIVE,Craft Beer,2.0,54.0,593.46,10.99
114,852674006501,512 Juicy IPA 6pk cans,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,4.0,43.96,10.99
115,852674006501,512 Juicy IPA 6pk cans,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,4.0,16.0,175.84,10.99
116,852674006495,512 Local Crush Kolsch 12oz 6pack,Customer Square 1,Airport,ACTIVE,Craft Beer,3.0,53.0,476.47,8.99
117,852674006362,512 Nut Brown 6pk Bottles,Customer Square 1,Airport,DEPRECATED,Craft Beer,0.0,,,
118,852674006362,512 Nut Brown 6pk Bottles,Customer Square 3,Oak Hill,DEPRECATED,Craft Beer,0.0,,,
119,852674006362,512 Nut Brown 6pk Bottles,Customer Square 2,Pleasant Valley,DEPRECATED,Craft Beer,8.0,,,
120,852674006150,512 Pale 6 Pack Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,8.0,79.92,9.99
121,852674006150,512 Pale 6 Pack Bottles,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,4.0,39.96,9.99
122,852674006150,512 Pale 6 Pack Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,4.0,39.96,9.99
123,852674006044,512 Pecan Porter 4pk Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,5.0,40.0,439.6,10.99
124,852674006044,512 Pecan Porter 4pk Bottles,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,,,
125,852674006044,512 Pecan Porter 4pk Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,6.0,17.0,186.83,10.99
126,852674006365,512 Seasonal 6 Pack 12oz Cans,Customer Square 1,Airport,ACTIVE,Craft Beer,5.0,44.0,483.56,10.99
127,852674006365,512 Seasonal 6 Pack 12oz Cans,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,16.0,175.84,10.99
128,852674006365,512 Seasonal 6 Pack 12oz Cans,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,3.0,22.0,241.78,10.99
129,852674006099,512 Smash Mosaic 6 Pack Bottles,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,1.0,9.99,9.99
130,852674006099,512 Smash Mosaic 6 Pack Bottles,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,3.0,29.97,9.99
131,852674006099,512 Smash Mosaic 6 Pack Bottles,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,2.0,19.98,9.99
132,852674006143,512 Wit 6 Pack Cans,Customer Square 1,Airport,ACTIVE,Craft Beer,7.0,29.0,289.71,9.989999999999998
133,852674006143,512 Wit 6 Pack Cans,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,,,
134,852674006143,512 Wit 6 Pack Cans,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,4.0,16.0,159.84,9.99
135,852674006075,512 Young Funkenstein 750ml,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,,,
136,852674006075,512 Young Funkenstein 750ml,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,0.0,,,
137,852674006075,512 Young Funkenstein 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,,,
138,5060093991710,6 O'clock Sloe Gin 750ml,Customer Square 1,Airport,ACTIVE,Gin,0.0,,,
139,5060093991710,6 O'clock Sloe Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,2.0,,,
140,876718036903,6 Pack Bike Carrier,Customer Square 1,Airport,ACTIVE,Bag,0.0,,,
141,876718036903,6 Pack Bike Carrier,Customer Square 2,Pleasant Valley,ACTIVE,Bag,3.0,,,
142,089000118397,99 Apple Schnapps 50ml,Customer Square 1,Airport,ACTIVE,Liqueur,84.0,626.0,619.74,0.99
143,089000118397,99 Apple Schnapps 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,43.0,91.0,90.09,0.99
144,089000118397,99 Apple Schnapps 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,106.0,404.0,399.96,0.99
145,80660010861,99 Apple Whiskey 50ml,Customer Square 1,Airport,ACTIVE,Liqueur,0.0,,,
146,80660010861,99 Apple Whiskey 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,0.0,,,
147,80660010861,99 Apple Whiskey 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,3.0,,,
148,080660620039,99 Bananas 1L,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,0.0,,,
149,080660620992,99 Bananas 50ml,Customer Square 1,Airport,ACTIVE,Liqueur,136.0,582.0,576.18,0.9899999999999999
150,080660620992,99 Bananas 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,131.0,823.0,814.77,0.99
151,080660620992,99 Bananas 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,152.0,350.0,346.5,0.99
152,080660620053,99 Bananas 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,4.0,75.96,18.99
153,080660620053,99 Bananas 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,0.0,2.0,37.98,18.99
154,088004045418,99 Cherry Limeade 50ml,Customer Square 1,Airport,ACTIVE,Liqueur,175.0,883.0,874.17,0.99
