Action,ProductSKU,ProductName,Location,MinimumBeforeReorder75,MinimumBeforeReorder85,ReorderQuantity,75Savings,85Savings,Stock Locator,PickZones
Create/Update,1234500000214,SoCo GingerBeer 32oz,Customer Square 2,0,0,20,78.0,78.0,,
Create/Update,698450755467,Socorro Anejo 750ml,Customer Square 2,0,0,6,79.98,79.98,,
Create/Update,698450753463,Socorro Blanco 750ml,Customer Square 2,2,3,6,67.98,33.99,,
Create/Update,698450754460,Socorro Reposado 750ml,Customer Square 2,1,1,6,37.99,37.99,,
Create/Update,083664870202,Solerno Blood Orange Liqueur 750ml,Customer Square 2,0,0,6,40.99,40.99,,
Create/Update,041165245066,Solo Cup 12 Count,Customer Square 2,0,1,24,23.88,21.89,,
Create/Update,842094150915,Solo Shot Cups 20pk,Customer Square 2,2,3,36,66.0,63.0,,
Create/Update,857050005178,Sombra Mezcal Joven 1L,Customer Square 2,0,0,6,39.99,39.99,,
Create/Update,610563098880,Soplica Vodka 1L,Customer Square 2,0,0,12,503.64,503.64,,
Create/Update,799599687654,Sotol La Higuera Cedrosanum 750ml,Customer Square 2,0,0,2,97.98,97.98,,
Create/Update,613739981474,Sotol La Higuera Cucharilla 750ml,Customer Square 2,0,0,2,0.0,0.0,,
Create/Update,799599687661,Sotol La Higuera Leiophyllum 750ml,Customer Square 2,0,1,2,97.98,48.99,,
Create/Update,613739981481,Sotol La Higuera Texanum 750mL,Customer Square 2,0,0,3,52.99,52.99,,
Create/Update,799599687647,Sotol La Higuera Wheeleri 750ml,Customer Square 2,0,0,2,75.98,75.98,,
Create/Update,636665075024,Southold Don't Forget to Soar 750ml,Customer Square 2,1,1,6,19.99,19.99,,
Create/Update,636665075031,Southold Farm Basics of Life 750ml,Customer Square 2,1,1,6,23.99,23.99,,
Create/Update,636665074850,Southold Forgotten Dreams 750ml,Customer Square 2,2,2,12,0.0,0.0,,
Create/Update,9781580082532,Speakeasy Book,Customer Square 2,0,0,3,49.98,49.98,,
Create/Update,1416186,Spiegelau 12.9oz Willsberg Whiskey Glass,Customer Square 2,0,0,12,48.0,48.0,,
Create/Update,124112,Spiegelau 5.8oz Martini Glass,Customer Square 2,0,1,12,144.0,132.0,,
Create/Update,124111,Spiegelau 8.3oz Coupe Glass,Customer Square 2,1,2,12,276.0,264.0,,
Create/Update,223399,Spiegelau Champ Flute,Customer Square 2,0,0,12,80.0,80.0,,
Create/Update,124113,Spiegelau Collins Glass,Customer Square 2,0,0,12,96.0,96.0,,
Create/Update,124114,Spiegelau Double Rocks Glass,Customer Square 2,1,2,12,132.0,120.0,,
Create/Update,4003322257783,Spiegelau Mixing Beaker,Customer Square 2,0,0,6,270.0,270.0,,
Create/Update,124115,Spiegelau Red Wine Glass,Customer Square 2,0,0,8,80.0,80.0,,
Create/Update,124124,Spiegelau Single Rocks Glass,Customer Square 2,1,2,12,132.0,120.0,,
Create/Update,124116,Spiegelau White Wine Glass,Customer Square 2,0,0,12,80.0,80.0,,
Create/Update,9781607748854,Spritz Book,Customer Square 2,0,0,2,37.98,37.98,,
Create/Update,040232339684,St Agrestis Amaro 750ml,Customer Square 2,0,0,4,83.98,83.98,,
Create/Update,040232339677,St Agrestis Bitter Inferno 750ml,Customer Square 2,0,1,4,75.98,37.99,,
Create/Update,040232339639,St Agrestis Negroni BIB,Customer Square 2,0,1,6,54.99,0.0,,
Create/Update,040232227998,St Agrestis Negroni Single 100ml,Customer Square 2,0,1,24,27.96,20.97,,
Create/Update,9024153090863,St Elizabeth Allspice Dram 750ml,Customer Square 2,0,0,6,92.97,92.97,,
Create/Update,860003360804,St Elmo Carl Kolsch Cans 6 Pack,Customer Square 2,5,6,4,-9.99,-19.98,,
Create/Update,027724602006,St George Absinthe Vert 200ml,Customer Square 2,1,1,6,21.99,21.99,,
Create/Update,027724607506,St George Absinthe Vert 750ml,Customer Square 2,0,0,6,119.98,119.98,,
Create/Update,027724557504,St George Aqua Perfecta 750ml,Customer Square 2,0,0,6,39.99,39.99,,
Create/Update,027724387507,St George Baller Single Malt 750ml,Customer Square 2,1,1,6,49.99,49.99,,
Create/Update,027724947503,St George Breaking & Entering 750ml,Customer Square 2,0,0,6,93.98,93.98,,
Create/Update,027724197502,St George Bruto Americano 750ml,Customer Square 2,1,1,6,69.98,69.98,,
Create/Update,027724027502,St George Cali Citrus Vodka 750ml,Customer Square 2,0,0,6,65.98,65.98,,
Create/Update,027724737500,St George California Shochu 750ml,Customer Square 2,0,0,6,41.99,41.99,,
Create/Update,027724202008,St George Gin Botanivore  200ml,Customer Square 2,0,1,6,23.98,11.99,,
Create/Update,027724207508,St George Gin Botanivore 750ml,Customer Square 2,1,2,6,69.98,34.99,,
Create/Update,027724212007,St George Gin Dry Rye 200ml,Customer Square 2,0,0,6,23.98,23.98,,
Create/Update,027724217507,St George Gin Dry Rye 750ml,Customer Square 2,0,0,6,69.98,69.98,,
