,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
5350,190046000024,Don Mateo Silvestre 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,3.0,,,
5351,190046000024,Don Mateo Silvestre 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,2.0,,,
5352,086891082899,Don Pancho 8yr 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Rum,1.0,,,
5356,082301100559,Don Q Anejo 1L,Customer Square 1,Airport,ACTIVE,Rum,3.0,,,
5379,850021602031,Dos Deus Vermouth Dry 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,4.0,,,
5383,850021602017,Dos Deus Vermouth White 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,6.0,,,
5391,072311321242,Dos Equis Can 24oz,Customer Square 3,Oak Hill,ACTIVE,Imp Beer,5.0,,,
5401,1234500000081,Double Zero Apple Eau De Vie 750ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,3.0,,,
5409,094799020165,Dows Tawny Port 10yr 750ml,Customer Square 1,Airport,ACTIVE,Fortified,6.0,,,
5410,094799020165,Dows Tawny Port 10yr 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,12.0,,,
5412,094799020189,Dows Tawny Port 20yr 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Fortified,10.0,,,
5419,700461951896,Dr  Adams Brazilian Bitters 100ml,Customer Square 2,Pleasant Valley,ACTIVE,Bitters,3.0,,,
5421,610696409744,Dr Adams Aphrodite Bitters 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,2.0,,,
5426,5060185876215,Dr Adams Spanish Bitters 100ml,Customer Square 1,Airport,ACTIVE,Bitters,4.0,,,
5428,5060185876215,Dr Adams Spanish Bitters 100ml,Customer Square 2,Pleasant Valley,ACTIVE,Bitters,3.0,,,
5433,07831504,Dr Pepper Can 12oz,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,35.0,,,
5438,012086008504,Drappier Brut Nature Rose 750mL,Customer Square 2,Pleasant Valley,ACTIVE,Bubbles,6.0,,,
5445,5425007810516,Drie Fonteinen Oude Geuze 1.5L,Customer Square 1,Airport,ACTIVE,Craft Beer,3.0,,,
5446,5425007810516,Drie Fonteinen Oude Geuze 1.5L,Customer Square 3,Oak Hill,ACTIVE,Craft Beer,3.0,,,
5448,5425007810981,Drie Fonteinen PX Sherry Barrel Intens Rood 750ml,Customer Square 1,Airport,ACTIVE,Craft Beer,6.0,,,
5450,9780399580550,Drinking Distilled A Users Manual,Customer Square 3,Oak Hill,ACTIVE,Books,1.0,,,
5470,094922014108,Dripping Springs Vodka 375ml,Customer Square 1,Airport,ACTIVE,Vodka,12.0,,,
5482,087229010072,Drouin Calvados 80 750ml,Customer Square 3,Oak Hill,ACTIVE,Calvados,2.0,,,
5483,087229010072,Drouin Calvados 80 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Calvados,2.0,,,
5484,086785091099,Drumshanbo Gunpowder Irish Gin 175L,Customer Square 2,Pleasant Valley,ACTIVE,Gin,6.0,,,
5515,898432002330,Dulce Vida Anejo Shaker Barrel 750ml,Customer Square 1,Airport,ACTIVE,Tequila,12.0,,,
5516,898432002330,Dulce Vida Anejo Shaker Barrel 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,6.0,,,
5522,898432002231,Dulce Vida Extra Anejo 100 Proof 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
5523,898432002507,Dulce Vida Grapefruit 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,4.0,,,
5525,898432002637,Dulce Vida Pineapple Jalapeno 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,3.0,,,
