SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
850007825065,Casamara Club Alta N/A Amaro Soda,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,2.0,,,
856724006145,Casamigos Blanco 175L,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,9.0,,,
856724006220,Casamigos Reposado 375ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
851514002666,Cascade Kriek 750ml,Customer Square 1,Airport,ACTIVE,Craft Beer,1.0,,,
718783000079,Cascahuin Anejo 750ml,Customer Square 1,Airport,ACTIVE,Tequila,5.0,,,
718783000079,Cascahuin Anejo 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,6.0,,,
852657007037,Castle and Key London Dry Gin 750ml,Customer Square 1,Airport,ACTIVE,Gin,6.0,,,
852657007037,Castle and Key London Dry Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,2.0,,,
852657007433,Castle and Key Wheated Small Batch Bourbon 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,1.0,,,
851484003076,Cathead Honeysuckle Vodka 750ml,Customer Square 3,Oak Hill,ACTIVE,Vodka,3.0,,,
855397002300,Catoctin Creek BIB Brandy 750 ml,Customer Square 1,Airport,ACTIVE,Whiskey Rye,5.0,,,
855397002300,Catoctin Creek BIB Brandy 750 ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Rye,3.0,,,
855397002003,Catoctin Creek Roundstone Rye 80 proof 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,3.0,,,
855397002058,Catoctin Creek Rye Cask Proof 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,5.0,,,
855397002058,Catoctin Creek Rye Cask Proof 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Rye,3.0,,,
855397002164,Catoctin Creek Rye Rabble Rouser BIB 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Rye,2.0,,,
855397002164,Catoctin Creek Rye Rabble Rouser BIB 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,3.0,,,
80480987039,Cazadores Margarita 4pk,Customer Square 2,Pleasant Valley,ACTIVE,RTD,20.0,,,
80480987077,Cazadores Paloma 4pk,Customer Square 2,Pleasant Valley,ACTIVE,RTD,14.0,,,
7500462197315,Chacolo Vol.1 Ixtero Amarillo 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,1.0,,,
7500462197315,Chacolo Vol.1 Ixtero Amarillo 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
