,ProductCode,Name_x,Category_x,Barcode,Price_x,Status,Name_y,SKU,Category_y,Price_y,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
106,1234500000005,Absinthe Fountain 6 Spout Lady,Bar Tools,1234500000005,259.0,ACTIVE,Absinthe Fountain 6 Spout Lady,1234500000005,Bar Tools,259.00,Y,Y,Y,Y,Y,Y
107,13061306,Absinthe Fountain 6 Spout Rooster,Bar Tools,13061306,259.0,ACTIVE,Absinthe Fountain 6 Spout Rooster,13061306,Bar Tools,259.00,Y,Y,Y,Y,Y,Y
108,13741374,Absinthe Fountain Glass 4 Spout,Bar Tools,13741374,64.99,ACTIVE,Absinthe Fountain Glass 4 Spout,13741374,Bar Tools,64.99,Y,Y,Y,Y,Y,Y
109,13811381,Absinthe Fountain Glass Double 1 Spout,Bar Tools,13811381,64.99,ACTIVE,Absinthe Fountain Glass Double 1 Spout,13811381,Bar Tools,64.99,Y,Y,Y,Y,Y,Y
110,13761376,Absinthe Fountain Twisted Glass 2 Spout,Bar Tools,13761376,64.99,ACTIVE,Absinthe Fountain Twisted Glass 2 Spout,13761376,Bar Tools,64.99,Y,Y,Y,Y,Y,Y
111,14651465,Absinthe Glass Coupe,Glassware,14651465,12.0,ACTIVE,Absinthe Glass Coupe,14651465,Glassware,12.00,Y,Y,Y,Y,Y,Y
112,14601460,Absinthe Glass Lyon,Glassware,14601460,14.0,ACTIVE,Absinthe Glass Lyon,14601460,Glassware,14.00,Y,Y,Y,Y,Y,N
113,14301430,Absinthe Glass Pontarlier,Glassware,14301430,12.0,ACTIVE,Absinthe Glass Pontarlier,14301430,Glassware,12.00,Y,Y,Y,Y,Y,Y
114,14701470,Absinthe Glass Torsade,Glassware,14701470,12.0,ACTIVE,Absinthe Glass Torsade,14701470,Glassware,12.00,Y,Y,Y,Y,Y,Y
115,689768241001,Absinthe Ordinaire Liqueur 92 Proof 750ml,Absinthe,689768241001,19.99,ACTIVE,Absinthe Ordinaire Liqueur 92 Proof 750ml,689768241001,Absinthe,19.99,Y,Y,Y,Y,Y,Y
116,689768241018,Absinthe Ordinaire Reserve 129 Proof 750ml,Absinthe,689768241018,39.99,ACTIVE,Absinthe Ordinaire Reserve 129 Proof 750ml,689768241018,Absinthe,39.99,Y,Y,Y,Y,Y,Y
117,123464,Absinthe Saucer Blue,Bar Tools,,9.0,ACTIVE,Absinthe Saucer Blue,123464,Bar Tools,9.00,Y,Y,Y,Y,Y,Y
